### Grasense measure data file ###
#
#   Measure Mode : VDS = 0.050 V  × 16 oversample   
#   Sweep variable : VGS
#   Sweep points : 121
#   Active channels : 12
#  
#  
#
#       
#       
#       
#
#     
#       
#    
#
# (V)	A1 (µA) 	A2 (µA) 	A3 (µA) 	A4 (µA) 	A5 (µA) 	A6 (µA) 	B1 (µA) 	B2 (µA) 	B3 (µA) 	B4 (µA) 	B5 (µA) 	B6 (µA) 
0.9800	 66.4772591	 59.7321580	 58.1191580	 71.0608138	 64.4104598	 64.3339942	 50.3146166	 60.1168710	 60.4943222	 70.3163571	 62.8557006	 63.0842435
0.9900	 67.3686237	 60.6414774	 59.0684909	 72.1222452	 65.2490998	 65.1250034	 51.0259496	 61.0187689	 61.2344192	 71.3270503	 63.6678564	 63.9131594
1.0000	 68.2323311	 61.5497798	 59.9952215	 73.1568148	 66.0658687	 65.8985328	 51.6627967	 61.9062426	 61.9658928	 72.2772959	 64.4651657	 64.7186032
1.0100	 69.0860665	 62.4314882	 60.9099927	 74.1706418	 66.8733278	 66.6532519	 52.1907710	 62.7771878	 62.6806106	 73.2388460	 65.2322146	 65.5114165
1.0200	 69.9028893	 63.2920962	 61.7880335	 75.1451912	 67.6432438	 67.3764180	 52.7715047	 63.6091654	 63.3719840	 74.1376186	 65.9876607	 66.2686598
1.0300	 70.7106781	 64.1396740	 62.6411202	 76.1135360	 68.4026291	 68.1039169	 53.4195912	 64.4440735	 64.0501989	 75.0560838	 66.7329308	 67.0323738
1.0400	 71.4961044	 64.9527094	 63.4970033	 77.0439098	 69.1526004	 68.7969758	 54.0286442	 65.2403246	 64.7338428	 75.9647306	 67.4713755	 67.7626822
1.0500	 72.2641149	 65.7598709	 64.3293148	 77.9574586	 69.8646609	 69.4860598	 54.5304220	 66.0411636	 65.3846075	 76.8223942	 68.1685516	 68.4792945
1.0600	 73.0108563	 66.5451987	 65.1366442	 78.8644564	 70.5673664	 70.1498287	 55.0391928	 66.8141172	 66.0303868	 77.6595023	 68.8527241	 69.1771996
1.0700	 73.7245896	 67.3143840	 65.9132919	 79.7380836	 71.2471689	 70.7845588	 55.6010169	 67.5621019	 66.6639354	 78.5214671	 69.5337701	 69.8503066
1.0800	 74.4362177	 68.0443674	 66.6768053	 80.5893347	 71.9119711	 71.4114442	 56.1788545	 68.3019135	 67.2848971	 79.3108302	 70.1959476	 70.5300574
1.0900	 75.1320916	 68.8013762	 67.4319423	 81.4450671	 72.5779698	 72.0413259	 56.6641859	 69.0153763	 67.8805595	 80.1477029	 70.8286632	 71.1721592
1.1000	 75.7923832	 69.5237243	 68.1556888	 82.2520172	 73.2056649	 72.6317835	 57.0823613	 69.7125473	 68.4902466	 80.8963031	 71.4402159	 71.7906464
1.1100	 76.4457042	 70.2021655	 68.8436772	 83.0289377	 73.7919541	 73.1952348	 57.5744080	 70.3871884	 69.0599969	 81.6546953	 72.0313393	 72.3976630
1.1200	 77.0469551	 70.8593154	 69.5218933	 83.7758571	 74.4043560	 73.7547711	 58.1013420	 71.0579923	 69.6096544	 82.3650029	 72.6241485	 72.9892924
1.1300	 77.6575092	 71.5098474	 70.1675786	 84.5216873	 74.9690843	 74.2940540	 58.5665677	 71.6974966	 70.1681479	 83.0740882	 73.1926902	 73.5665942
1.1400	 78.2682237	 72.1595404	 70.8319229	 85.2568707	 75.5229769	 74.8151736	 58.9309798	 72.3169399	 70.7067149	 83.7749236	 73.7316255	 74.1193294
1.1500	 78.8141253	 72.7558639	 71.4244182	 85.9260840	 76.0418734	 75.3348142	 59.3540001	 72.9193149	 71.2255355	 84.4379806	 74.2619766	 74.6588482
1.1600	 79.3700533	 73.3540442	 72.0348603	 86.5988590	 76.5592524	 75.8243893	 59.8355051	 73.5175473	 71.7119014	 85.0842281	 74.7782806	 75.1810163
1.1700	 79.9092966	 73.9456309	 72.6194423	 87.2594086	 77.0836741	 76.3153961	 60.2770184	 74.0953762	 72.2215318	 85.7561172	 75.2936919	 75.6929856
1.1800	 80.4310844	 74.5125207	 73.1875470	 87.8897389	 77.5704878	 76.7695957	 60.6221629	 74.6371023	 72.7016406	 86.3562879	 75.7695048	 76.1848511
1.1900	 80.9413142	 75.0632435	 73.7472227	 88.5193808	 78.0417363	 77.2214417	 60.9565612	 75.2006627	 73.1624194	 86.9675865	 76.2405391	 76.6610185
1.2000	 81.4313290	 75.6014082	 74.2878864	 89.1337097	 78.5127136	 77.6745023	 61.3745774	 75.7166916	 73.6133654	 87.5718287	 76.6886999	 77.1310006
