### Grasense measure data file ###
#
#   Measure Mode : VDS = 0.050 V  × 16 oversample   
#   Sweep variable : VGS
#   Sweep points : 121
#   Active channels : 12
#  
#  
#
#       
#       
#       
#
#     
#       
#    
#
# (V)	A1 (µA) 	A2 (µA) 	A3 (µA) 	A4 (µA) 	A5 (µA) 	A6 (µA) 	B1 (µA) 	B2 (µA) 	B3 (µA) 	B4 (µA) 	B5 (µA) 	B6 (µA) 
0.6000	 27.1109368	 23.0185548	 21.7095450	 24.3595343	 24.3920552	 25.7663031	 19.8644333	 20.4198134	 24.6805420	 26.3599600	 25.1972261	 24.9186907
0.6100	 28.5468198	 24.2220201	 22.8424771	 25.7338216	 25.7654546	 27.1473321	 20.8680397	 21.6661558	 25.9675031	 27.7246959	 26.5345881	 26.1959251
0.6200	 29.9380459	 25.3922312	 23.9523250	 27.0720219	 27.1104701	 28.4917849	 21.7545585	 22.9010194	 27.2276461	 29.0473551	 27.8397990	 27.4278718
0.6300	 31.2677097	 26.5075366	 25.0210588	 28.3629085	 28.4119583	 29.7800965	 22.5940968	 24.0971890	 28.4594119	 30.3303733	 29.1014622	 28.6170085
0.6400	 32.5399546	 27.5733116	 26.0469376	 29.6244956	 29.6807659	 31.0262470	 23.5289987	 25.2829326	 29.6787493	 31.6023725	 30.3423926	 29.7896845
0.6500	 33.7596437	 28.5833536	 27.0157199	 30.8574057	 30.9144550	 32.2383086	 24.4988335	 26.4650388	 30.8974514	 32.8687117	 31.5684224	 30.9412832
0.6600	 34.9391656	 29.5570657	 27.9514129	 32.0889616	 32.1276369	 33.4180681	 25.3712304	 27.6409856	 32.1143362	 34.1340079	 32.7863742	 32.0885132
0.6700	 36.0768068	 30.4967388	 28.8501956	 33.3028655	 33.2970437	 34.5659755	 26.2459643	 28.8039070	 33.3106121	 35.3921883	 33.9948639	 33.2190634
0.6800	 37.1842958	 31.4090483	 29.7122163	 34.5204551	 34.4446152	 35.6881022	 27.2304285	 29.9646475	 34.4930572	 36.6721103	 35.2015325	 34.3516992
0.6900	 38.2756332	 32.3127896	 30.5579355	 35.7593968	 35.5921765	 36.8101023	 28.2573411	 31.1508728	 35.6890050	 37.9918534	 36.4164179	 35.5054411
0.7000	 39.3715666	 33.2136902	 31.4118201	 37.0225369	 36.7422379	 37.9379778	 29.1858792	 32.3330347	 36.8555831	 39.3232614	 37.6199623	 36.6596404
0.7100	 40.4709218	 34.1411386	 32.2675100	 38.3193353	 37.8804015	 39.0643218	 30.1171535	 33.4950302	 38.0097075	 40.6574505	 38.8145587	 37.8079521
0.7200	 41.5686691	 35.0679053	 33.1417245	 39.6469867	 39.0075443	 40.1862836	 31.1406397	 34.6592762	 39.1385754	 42.0128010	 40.0012369	 38.9689260
0.7300	 42.6892427	 36.0355395	 34.0562426	 41.0126504	 40.1791853	 41.3500523	 32.1744544	 35.8430744	 40.2654721	 43.4125650	 41.1791244	 40.1487995
0.7400	 43.8462499	 37.0684405	 35.0175547	 42.4356462	 41.3675978	 42.5255482	 33.1075045	 37.0262422	 41.3695503	 44.8028051	 42.3446247	 41.3315655
0.7500	 45.0097810	 38.1121919	 36.0173038	 43.8693596	 42.5529066	 43.7107961	 34.0109772	 38.1894223	 42.4516484	 46.1622914	 43.4892835	 42.5005281
0.7600	 46.1930388	 39.2062086	 37.0605905	 45.3163969	 43.7589060	 44.8953607	 35.0197565	 39.3609155	 43.5331786	 47.5502121	 44.6282387	 43.6880442
0.7700	 47.4072842	 40.3288025	 38.1427180	 46.7882193	 44.9835261	 46.0870333	 36.0326473	 40.5571649	 44.6200786	 48.9036015	 45.7653643	 44.8933569
0.7800	 48.6513423	 41.5160666	 39.2735783	 48.2838797	 46.2128425	 47.2962480	 36.9436633	 41.7510843	 45.6893740	 50.2728942	 46.8827006	 46.0841642
0.7900	 49.8799418	 42.7054568	 40.4269290	 49.7412840	 47.4261824	 48.4593694	 37.8174944	 42.9268589	 46.7417114	 51.5902431	 47.9679139	 47.2544019
0.8000	 51.1025807	 43.8860241	 41.5822076	 51.1879272	 48.6161834	 49.6023588	 38.7763351	 44.0958363	 47.7758945	 52.8706165	 49.0575248	 48.4160234
0.8100	 52.3235050	 45.0895742	 42.7638919	 52.6283812	 49.8035157	 50.7435888	 39.7468355	 45.2755963	 48.8072739	 54.1554541	 50.1301061	 49.5820656
0.8200	 53.5491671	 46.2935836	 43.9405045	 54.0583700	 50.9677235	 51.8496323	 40.5866511	 46.4290032	 49.8025044	 55.3933384	 51.1855706	 50.7087282
0.8300	 54.7476030	 47.4808827	 45.1131699	 55.4421032	 52.1009424	 52.9147116	 41.3940997	 47.5506116	 50.7968045	 56.5952222	 52.1940207	 51.7991997
0.8400	 55.9074581	 48.6361909	 46.2666330	 56.7802365	 53.2017663	 53.9419308	 42.2715225	 48.6445366	 51.7536548	 57.8006984	 53.1952615	 52.8745680
0.8500	 57.0579257	 49.7938044	 47.4229719	 58.1168435	 54.2840070	 54.9588164	 43.1689772	 49.7380058	 52.7030444	 58.9628184	 54.1824977	 53.9390453
0.8600	 58.1838646	 50.9267635	 48.5581338	 59.4368035	 55.3345048	 55.9523985	 43.9208032	 50.7995465	 53.6070756	 60.1020696	 55.1471284	 54.9661029
0.8700	 59.2907192	 52.0561966	 49.6760058	 60.6985711	 56.3567510	 56.8818158	 44.6331974	 51.8103564	 54.5043882	 61.1833319	 56.0586451	 55.9510108
0.8800	 60.3490461	 53.1541395	 50.7539908	 61.9167472	 57.3272004	 57.8033497	 45.4276815	 52.8203915	 55.3592271	 62.2731544	 56.9686920	 56.9218139
0.8900	 61.3953259	 54.2252320	 51.8219130	 63.1216441	 58.2898212	 58.7062019	 46.2310449	 53.8036257	 56.1958418	 63.3318715	 57.8584537	 57.8624310
0.9000	 62.4190141	 55.2678983	 52.8695025	 64.2915889	 59.2173086	 59.5925622	 46.9086087	 54.7462956	 57.0168425	 64.3635773	 58.7138931	 58.7849600
0.9100	 63.4188117	 56.3051070	 53.8856929	 65.4336968	 60.1196174	 60.4352381	 47.5285823	 55.6633485	 57.8072856	 65.3807287	 59.5461983	 59.6747187
0.9200	 64.3861365	 57.3054421	 54.8722918	 66.5330702	 60.9808008	 61.2548600	 48.2198237	 56.5464239	 58.5790153	 66.3470104	 60.3671352	 60.5435410
0.9300	 65.3299814	 58.2949588	 55.8399137	 67.6089821	 61.8391621	 62.0543933	 48.9425843	 57.4299191	 59.3231127	 67.2981230	 61.1725732	 61.3751913
0.9400	 66.2580969	 59.2536918	 56.7799322	 68.6660038	 62.6764157	 62.8330978	 49.5712247	 58.2809429	 60.0506655	 68.2483090	 61.9397204	 62.2109722
0.9500	 67.1651086	 60.1911125	 57.7069634	 69.6787260	 63.4850684	 63.5894113	 50.1121167	 59.1040423	 60.7392047	 69.1586650	 62.6837246	 62.9951720
0.9600	 68.0369125	 61.1012016	 58.5968748	 70.6671900	 64.2700629	 64.3248890	 50.7054031	 59.9016591	 61.4322129	 70.0321372	 63.4194112	 63.7715816
0.9700	 68.8910403	 61.9822067	 59.4706702	 71.6259323	 65.0176046	 65.0222527	 51.3573501	 60.6777740	 62.0716857	 70.8918451	 64.1338851	 64.5169217
0.9800	 69.7205662	 62.8423232	 60.3187513	 72.5606119	 65.7553357	 65.7240910	 51.9229317	 61.4317892	 62.7057128	 71.7449843	 64.8232937	 65.2491521
0.9900	 70.5384915	 63.7035095	 61.1543283	 73.4634840	 66.4736878	 66.3929248	 52.3944393	 62.1635850	 63.3139123	 72.5604132	 65.4909670	 65.9564213
1.0000	 71.3303316	 64.5149847	 61.9633397	 74.3536779	 67.1647767	 67.0413951	 52.9149599	 62.8684537	 63.9082852	 73.3571549	 66.1492627	 66.6465136
1.0100	 72.0849081	 65.3041188	 62.7399017	 75.1989704	 67.8362349	 67.6663378	 53.4848866	 63.5510295	 64.4907966	 74.1239052	 66.7793758	 67.3072724
1.0200	 72.8156692	 66.0922536	 63.5084662	 76.0284247	 68.4847343	 68.2784705	 54.0242530	 64.2271343	 65.0536096	 74.8654579	 67.4189524	 67.9509343
1.0300	 73.5480992	 66.8583327	 64.2559215	 76.8403925	 69.1254732	 68.8672839	 54.4532767	 64.8790647	 65.5966756	 75.6115285	 68.0129338	 68.5743730
1.0400	 74.2377050	 67.5837956	 64.9916812	 77.6134463	 69.7455460	 69.4254984	 54.8640815	 65.5132576	 66.1258806	 76.3156928	 68.5823673	 69.1755423
1.0500	 74.9157456	 68.2851931	 65.6804038	 78.3544189	 70.3346662	 69.9666202	 55.3628292	 66.1135098	 66.6213933	 77.0171008	 69.1526002	 69.7580347
1.0600	 75.5668562	 68.9814143	 66.3772771	 79.0941800	 70.9179310	 70.5010463	 55.8584470	 66.7039586	 67.1262346	 77.6910727	 69.7035931	 70.3296834
1.0700	 76.2125813	 69.6570315	 67.0455557	 79.8055269	 71.4821226	 71.0225673	 56.2334313	 67.2817294	 67.5977090	 78.3573737	 70.2492416	 70.8897875
1.0800	 76.8304382	 70.3139689	 67.7008759	 80.4850162	 72.0160456	 71.5329678	 56.5854818	 67.8324033	 68.0446709	 79.0032521	 70.7606736	 71.4222965
1.0900	 77.4136063	 70.9472473	 68.3185266	 81.1447532	 72.5397209	 71.9989341	 57.0190743	 68.3735283	 68.4921584	 79.6082110	 71.2550462	 71.9329467
1.1000	 77.9920944	 71.5549804	 68.9241436	 81.7994805	 73.0398785	 72.4641113	 57.4741184	 68.9041783	 68.9560595	 80.2161900	 71.7547360	 72.4384873
1.1100	 78.5553225	 72.1636465	 69.5311686	 82.4299114	 73.5363281	 72.9096174	 57.8186371	 69.4025000	 69.3876418	 80.8093331	 72.2281193	 72.9294597
1.1200	 79.0982225	 72.7656920	 70.0884052	 83.0466266	 74.0071147	 73.3548048	 58.1108743	 69.9059849	 69.7745036	 81.4083844	 72.6908341	 73.4030742
1.1300	 79.6253316	 73.3247900	 70.6531243	 83.6212728	 74.4770039	 73.7716016	 58.4877094	 70.3967414	 70.1998873	 81.9540043	 73.1338768	 73.8660731
1.1400	 80.1403848	 73.8693372	 71.1842378	 84.1957095	 74.9180408	 74.1770735	 58.9007439	 70.8594589	 70.5755143	 82.5076152	 73.5856251	 74.3093033
1.1500	 80.6298454	 74.4066557	 71.7163095	 84.7693851	 75.3682787	 74.5750338	 59.2323430	 71.3401730	 70.9606816	 83.0406093	 74.0162104	 74.7646310
1.1600	 81.1118307	 74.9307883	 72.2369305	 85.3157360	 75.7933237	 74.9668307	 59.4780429	 71.7914580	 71.3402761	 83.5431164	 74.4360089	 75.1931862
1.1700	 81.5850439	 75.4530179	 72.7403017	 85.8519400	 76.2108208	 75.3387447	 59.7905614	 72.2337923	 71.7063217	 84.0478928	 74.8503077	 75.6178172
1.1800	 82.0425590	 75.9633610	 73.2265585	 86.3799758	 76.6101244	 75.7111605	 60.1738180	 72.6763238	 72.0887505	 84.5792586	 75.2578538	 76.0371561
1.1900	 82.5017185	 76.4621760	 73.7133923	 86.9072351	 77.0125617	 76.0789806	 60.5038732	 73.0925399	 72.4545342	 85.0902760	 75.6590913	 76.4441206
1.2000	 82.9428816	 76.9399747	 74.1897625	 87.4250028	 77.4122992	 76.4345908	 60.7440139	 73.5314869	 72.8085006	 85.5700122	 76.0446576	 76.8479757
